2017.01.23-11.12.17		Failed		X=-309.671 Y=-71.621 Z=322.679		Grab Right
2017.01.23-11.12.17		Failed		X=-309.565 Y=-71.859 Z=323.186		Release Right
2017.01.23-11.12.17		Failed		X=-309.499 Y=-71.911 Z=323.304		Grab Right
2017.01.23-11.12.17		Failed		X=-309.403 Y=-71.808 Z=323.632		Release Right
2017.01.23-11.12.17		Failed		X=-309.442 Y=-71.773 Z=323.951		Grab Right
2017.01.23-11.12.18		Failed		X=-309.558 Y=-71.221 Z=323.706		Release Right
2017.01.23-11.12.18		Failed		X=-309.800 Y=-70.132 Z=323.260		Grab Right
2017.01.23-11.12.18		Failed		X=-309.935 Y=-68.833 Z=323.091		Release Right
2017.01.23-11.12.18		Failed		X=-310.235 Y=-68.777 Z=322.255		Grab Right
2017.01.23-11.12.18		Failed		X=-310.411 Y=-69.759 Z=322.340		Release Right
2017.01.23-11.12.18		Failed		X=-310.504 Y=-69.879 Z=323.836		Grab Right
2017.01.23-11.12.18		Failed		X=-310.324 Y=-69.278 Z=324.599		Release Right
2017.01.23-11.12.18		Failed		X=-310.462 Y=-68.706 Z=324.600		Grab Right
2017.01.23-11.12.19		Failed		X=-310.492 Y=-67.451 Z=323.788		Release Right
2017.01.23-11.12.19		Failed		X=-310.737 Y=-68.258 Z=322.582		Grab Right
2017.01.23-11.12.19		Failed		X=-310.765 Y=-70.689 Z=324.057		Release Right
2017.01.23-11.12.19		Failed		X=-310.427 Y=-68.703 Z=324.100		Grab Right
2017.01.23-11.12.19		Failed		X=-310.587 Y=-70.685 Z=323.197		Release Right
2017.01.23-11.12.19		Failed		X=-310.417 Y=-68.911 Z=322.985		Grab Right
2017.01.23-11.12.20		Failed		X=-310.251 Y=-68.314 Z=324.151		Release Right
2017.01.23-11.12.20		Failed		X=-309.548 Y=-68.933 Z=323.771		Grab Right
2017.01.23-11.12.20		Failed		X=-308.127 Y=-67.121 Z=324.324		Release Right
2017.01.23-11.12.20		Failed		X=-307.913 Y=-69.899 Z=323.451		Grab Right
2017.01.23-11.12.20		Failed		X=-306.977 Y=-67.815 Z=323.305		Release Right
2017.01.23-11.12.20		Failed		X=-305.711 Y=-71.029 Z=321.238		Grab Right
2017.01.23-11.12.20		Failed		X=-304.314 Y=-71.328 Z=322.228		Release Right
2017.01.23-11.12.21		Failed		X=-300.209 Y=-70.695 Z=325.333		Grab Right
2017.01.23-11.12.21		Failed		X=-299.706 Y=-69.892 Z=324.849		Release Right
2017.01.23-11.12.21		Failed		X=-299.932 Y=-70.174 Z=322.824		Grab Right
2017.01.23-11.12.22		Failed		X=-307.142 Y=-64.301 Z=319.487		Release Right
2017.01.23-11.12.22		Failed		X=-304.897 Y=-70.938 Z=324.193		Grab Right
2017.01.23-11.12.22		Failed		X=-301.914 Y=-68.325 Z=324.605		Release Right
2017.01.23-11.12.22		Failed		X=-302.541 Y=-67.318 Z=326.462		Grab Right
2017.01.23-11.12.22		Failed		X=-304.139 Y=-65.868 Z=325.513		Release Right
2017.01.23-11.12.23		Success		X=-299.320 Y=-78.724 Z=329.266		Toggle Laser Left
2017.01.23-11.12.24		Failed		X=-305.990 Y=-84.195 Z=316.964		Grab Left
2017.01.23-11.12.24		Failed		X=-305.988 Y=-84.089 Z=319.578		Release Left
2017.01.23-11.12.24		Failed		X=-306.276 Y=-84.117 Z=318.892		Grab Left
2017.01.23-11.12.24		Failed		X=-316.192 Y=-65.609 Z=323.633		Grab Right
2017.01.23-11.12.24		Failed		X=-306.135 Y=-85.491 Z=317.877		Release Left
2017.01.23-11.12.24		Failed		X=-314.094 Y=-66.543 Z=324.535		Release Right
2017.01.23-11.12.24		Failed		X=-305.637 Y=-86.274 Z=319.407		Grab Left
2017.01.23-11.12.24		Failed		X=-314.273 Y=-66.030 Z=324.442		Grab Right
2017.01.23-11.12.25		Failed		X=-305.471 Y=-86.081 Z=319.370		Release Left
2017.01.23-11.12.25		Failed		X=-314.720 Y=-63.728 Z=323.742		Release Right
2017.01.23-11.12.25		Failed		X=-305.979 Y=-85.484 Z=319.685		Grab Left
2017.01.23-11.12.25		Failed		X=-315.452 Y=-63.443 Z=323.204		Grab Right
2017.01.23-11.12.25		Failed		X=-306.425 Y=-85.086 Z=318.440		Release Left
2017.01.23-11.12.25		Failed		X=-315.768 Y=-64.829 Z=323.910		Release Right
2017.01.23-11.12.25		Failed		X=-306.858 Y=-84.789 Z=318.911		Grab Left
2017.01.23-11.12.25		Failed		X=-315.537 Y=-65.247 Z=324.755		Grab Right
2017.01.23-11.12.25		Failed		X=-306.288 Y=-84.321 Z=320.342		Release Left
2017.01.23-11.12.25		Failed		X=-314.893 Y=-64.349 Z=325.609		Release Right
2017.01.23-11.12.25		Failed		X=-305.790 Y=-84.079 Z=320.804		Grab Left
2017.01.23-11.12.25		Failed		X=-315.136 Y=-63.097 Z=324.659		Grab Right
2017.01.23-11.12.25		Failed		X=-306.055 Y=-83.858 Z=318.902		Release Left
2017.01.23-11.12.25		Failed		X=-315.911 Y=-63.676 Z=323.214		Release Right
